C1:2
C2:2
C3:2
C4:1
C5:1
C6:1
C7:1
DAC1:1
J1:1
J2:1
J8:1
J9:1
R1:2
R10:2
R11:2
R12:2
R13:2
R14:1
R15:1
R16:1
R18:1
R19:1
R2:2
R20:1
R21:1
R3:2
R4:2
R5:2
R6:2
R7:2
R8:2
R9:2
U1:2
U2:1
U3:1
